نام,نام خانوادگی,استان,شهر,جنسیت,شاخص عملکرد,رتبه,تعداد عملکرد ثبت شده,درصد حضور,درصد غیبت,تعداد حضور در رای‌گیری,رای موافق,رای مخالف,رای ممتنع,عدم مشارکت در رای‌گیری,کمیسیون سال اول,کمیسیون سال دوم,کمیسیون سال سوم,کمیسیون سال چهارم,توضیحات
علیرضا,سلیمی,مرکزی,دلیجان / محلات,آقا,1842,1,2046,98,2,2015,1540,469,2,4,عضو کمیسیون صنایع و معادن - عضو کمیسیون تدوین آیین‌نامه داخلی مجلس,عضو کمیسیون تدوین آیین‌نامه داخلی مجلس - عضو کمیسیون صنایع و معادن,عضو کمیسیون صنایع و معادن - عضو کمیسیون تدوین آیین‌نامه داخلی مجلس,عضو کمیسیون صنایع و معادن - عضو کمیسیون تدوین آیین‌نامه داخلی مجلس,سوابق و فعالیت ها: - استاد و عضو هیأت علمی دانشگاه - مدیر و مدرس حوزه علمیه - امام جمعه موقت تحصیلات: - دروس خارج فقه و اصول - دکتری فقه و حقوق
حسینعلی,حاجی‌دلیگانی,اصفهان,برخوار / شاهین شهر / میمه,آقا,1831,2,2046,100,0,2046,1523,487,27,9,عضو کمیسیون تلفیق,,عضو کمیسیون تلفیق,,سوابق و فعالیت ها: - معاون استاندار اصفهان و فرماندار ویژه کاشان - فرمانده سپاه اصفهان تحصیلات : - کارشناسی ارشد مدیریت دولتی
علیرضا,عباسی,البرز,کرج,آقا,1757,3,2046,99,1,2032,1559,456,4,13,,نایب رئیس دوم کمیسیون کشاورزی،  آب و منابع طبیعی,عضو کمیسیون کشاورزی،  آب و منابع طبیعی,نایب رئیس دوم کمیسیون کشاورزی،  آب و منابع طبیعی,سوابق: عضو هیات علمی پردیس کشاروزی و منابع طبیعی دانشگاه تهران(دانشیار) مسئول کارگروه کشاورزی دانشجویان اعزام به خارج از کشور وزارت علوم، تحقیقات و فناوری سردبیر مجله علوم گیاهان زراعی ایران عضو کارگروه ثبت اختراعات معاونت علمی و فناوری ریاست جمهوری تحصیلات: دکترای بیوتکنولوژی گیاهی
حسین,خسروی‌اسفزار,خراسان جنوبی,بیرجند / درمیان,آقا,1738,4,2046,99,1,2023,1626,388,1,8,دبیر دوم کمیسیون امور داخلی کشور و شوراها,عضو کمیسیون امور داخلی کشور و شوراها,,,سوابق اجرایی : بازنشسته سپاه میزان تحصیلات : کارشناسی ارشد معارف اسلامی
علی,خضریان,تهران,اسلامشهر / تهران / ری / شمیرانات,آقا,1714,5,2046,100,0,2036,1493,489,4,50,سخنگو کمیسیون اصل نودم قانون اساسی مجلس,سخنگو کمیسیون اصل نودم قانون اساسی مجلس,سخنگو کمیسیون اصل نودم قانون اساسی مجلس,سخنگو کمیسیون اصل نودم قانون اساسی مجلس,سوابق اجرایی : مدیرمسئول خبرنامه دانشجویان ایران مدیر مرکز ارتباطات و اطلاع رسانی نهاد نمایندگی مقام معظم رهبری(مدظله العالی) در دانشگاه ها سردبیر و قائم مقام مدیر مسئول روزنامه فرهیختگان میزان تحصیلات : کارشناس ارشد علوم سیاسی
سیدناصر,موسوی‌لارگانی,اصفهان,فلاورجان,آقا,1708,6,2046,98,2,1996,1622,355,5,14,عضو کمیسیون اقتصادی,عضو کمیسیون اقتصادی,عضو کمیسیون اقتصادی,عضو کمیسیون اقتصادی,سوابق و فعالیت ها: - دبیر آموزش و پرورش تحصیلات: - سطح 2 علوم حوزه - کارشناسی ارشد تاریخ اسلام
محمدحسن,آصفری,مرکزی,اراک / خنداب / کمیجان,آقا,1694,7,2046,98,2,2001,1483,447,8,63,نایب رئیس دوم کمیسیون امور داخلی کشور و شوراها,عضو کمیسیون امور داخلی کشور و شوراها,نایب رئیس دوم کمیسیون امور داخلی کشور و شوراها,نایب رئیس دوم کمیسیون امور داخلی کشور و شوراها - عضو کمیسیون کمیسیون تلفیق برنامه هفتم,سوابق و فعالیت ها: - فرماندار اراک تحصیلات: - فوق لیسانس علوم سیاسی
قدرت‌الله,حمزه‌شلمزاری,چهارمحال و بختیاری,اردل  / فارسان,آقا,1677,8,2046,97,3,1991,1535,399,5,52,عضو کمیسیون امور داخلی کشور و شوراها,عضو کمیسیون امور داخلی کشور و شوراها,عضو کمیسیون امور داخلی کشور و شوراها,عضو کمیسیون امور داخلی کشور و شوراها,سوابق اجرایی : فرماندار سابق کوهرنگ و ایذه میزان تحصیلات : کارشناسی ارشد علوم سیاسی
محمد,رشیدی,کرمانشاه,کرمانشاه,آقا,1661,9,2046,95,5,1948,1400,437,63,48,دبیر اول کمیسیون تلفیق - عضو کمیسیون کشاورزی،  آب و منابع طبیعی - عضو کمیسیون کمیسیون ویژه جهش و رونق تولید و نظارت بر اجرای اصل 44 قانون اساسی,عضو کمیسیون کشاورزی،  آب و منابع طبیعی - عضو کمیسیون تلفیق - عضو کمیسیون کمیسیون ویژه جهش و رونق تولید و نظارت بر اجرای اصل 44 قانون اساسی,عضو کمیسیون کشاورزی،  آب و منابع طبیعی - عضو کمیسیون کمیسیون ویژه جهش و رونق تولید و نظارت بر اجرای اصل 44 قانون اساسی,عضو کمیسیون کشاورزی،  آب و منابع طبیعی - عضو کمیسیون کمیسیون تلفیق برنامه هفتم - عضو کمیسیون کمیسیون ویژه جهش و رونق تولید و نظارت بر اجرای اصل 44 قانون اساسی,سوابق اجرایی : استاد دانشگاه رازی کرمانشاه میزان تحصیلات : دکترای علوم قرآن و حدیث
اسماعیل,کوثری,تهران,تهران,آقا,1648,10,2046,95,5,1945,1435,401,68,41,,,,,
